,id,country,signup_date,message_count,call_count,search_count
0,10000000,IT,2019-03-18,1,36,16
1,10000001,IT,2019-03-03,0,64,20
2,10000002,SE,2019-04-02,2,5,17
3,10000003,IT,2019-03-27,0,60,38
4,10000004,IT,2019-04-01,0,24,37
5,10000005,IT,2019-03-29,0,30,11
6,10000006,IT,2019-04-01,0,49,21
7,10000007,IT,2019-03-06,12,85,44
8,10000008,IT,2019-03-27,0,87,35
9,10000009,IT,2019-03-26,2,23,27
10,10000010,SE,2019-03-15,0,40,29
11,10000011,ES,2019-03-20,0,10,11
12,10000012,GB,2019-03-10,0,9,28
13,10000013,SE,2019-03-20,0,23,25
14,10000014,IT,2019-03-08,0,21,13
15,10000015,IT,2019-03-17,0,25,22
16,10000016,SE,2019-03-29,0,41,32
17,10000017,IT,2019-03-11,0,91,26
18,10000018,IT,2019-03-13,3,63,37
19,10000019,GB,2019-03-29,27,4,37
20,10000020,GB,2019-03-28,11,0,35
21,10000021,IT,2019-03-21,0,54,46
22,10000022,ES,2019-03-27,0,23,7
23,10000023,ES,2019-03-29,5,12,28
24,10000024,ES,2019-03-11,0,13,14
25,10000025,FR,2019-04-02,0,11,8
26,10000026,GB,2019-03-21,0,27,37
27,10000027,IT,2019-03-10,4,60,45
28,10000028,GB,2019-03-21,9,20,10
29,10000029,IT,2019-03-30,0,33,28
30,10000030,SE,2019-03-22,0,60,38
31,10000031,SE,2019-03-18,2,3,286
32,10000032,ES,2019-03-23,3,19,26
33,10000033,GB,2019-03-24,0,95,28
34,10000034,IT,2019-03-23,6,38,30
35,10000035,IT,2019-03-27,0,106,38
36,10000036,GB,2019-03-16,0,9,26
37,10000037,IT,2019-03-03,2,4,8
38,10000038,GB,2019-03-12,0,93,31
39,10000039,ES,2019-03-30,0,0,30
40,10000040,IT,2019-03-22,0,358,45
41,10000041,GB,2019-03-29,0,24,20
42,10000042,IT,2019-03-02,0,55,43
43,10000043,SE,2019-03-14,0,35,36
44,10000044,IT,2019-03-25,0,36,39
45,10000045,IT,2019-03-11,0,21,10
46,10000046,ES,2019-03-17,0,34,38
47,10000047,IT,2019-03-13,0,33,37
48,10000048,IT,2019-03-11,3,4,36
49,10000049,IT,2019-03-18,0,236,26
50,10000050,SE,2019-03-27,0,34,37
51,10000051,GB,2019-03-05,0,12,18
52,10000052,IT,2019-03-08,2,26,18
53,10000053,SE,2019-03-28,0,31,13
54,10000054,IT,2019-03-17,2,41,41
55,10000055,IT,2019-03-15,0,154,43
56,10000056,IT,2019-03-24,9,45,13
57,10000057,SE,2019-03-06,0,15,35
58,10000058,IT,2019-03-14,0,33,38
59,10000059,ES,2019-03-29,0,37,28
60,10000060,SE,2019-03-26,0,58,29
61,10000061,SE,2019-03-24,4,42,39
62,10000062,IT,2019-03-25,1,52,37
63,10000063,IT,2019-03-25,16,33,34
64,10000064,SE,2019-03-26,0,38,35
65,10000065,IT,2019-03-25,0,36,34
66,10000066,ES,2019-03-25,4,19,32
67,10000067,SE,2019-03-28,0,38,19
68,10000068,IT,2019-03-10,2,20,19
69,10000069,IT,2019-03-18,0,0,17
70,10000070,IT,2019-03-19,0,122,24
71,10000071,GB,2019-03-02,235,50,34
72,10000072,GB,2019-03-30,0,13,33
73,10000073,SE,2019-03-13,2,1,13
74,10000074,IT,2019-03-17,0,31,26
75,10000075,SE,2019-03-08,0,14,25
76,10000076,IT,2019-03-09,4,21,18
77,10000077,IT,2019-03-19,0,172,36
78,10000078,SE,2019-03-20,0,92,22
79,10000079,GB,2019-04-02,9,2,13
80,10000080,GB,2019-03-18,0,71,33
81,10000081,ES,2019-03-28,0,60,35
82,10000082,GB,2019-03-11,0,3,400
83,10000083,IT,2019-03-19,0,104,19
84,10000084,IT,2019-03-17,0,149,43
85,10000085,IT,2019-03-17,2,22,21
86,10000086,IT,2019-03-27,0,19,35
87,10000087,FR,2019-03-13,1,2,273
88,10000088,SE,2019-03-18,1,26,27
89,10000089,IT,2019-03-16,0,59,36
90,10000090,IT,2019-03-16,1,86,41
91,10000091,IT,2019-03-13,11,16,31
92,10000092,ES,2019-03-07,0,0,30
93,10000093,SE,2019-03-19,0,76,37
94,10000094,GB,2019-03-23,3,0,26
95,10000095,IT,2019-03-28,0,34,31
96,10000096,IT,2019-03-29,3,0,1
97,10000097,IT,2019-03-15,1,54,30
98,10000098,ES,2019-03-17,3,2,31
99,10000099,SE,2019-03-15,1,50,37
100,10000100,GB,2019-03-07,2,2,36
101,10000101,IT,2019-03-29,0,54,4
102,10000102,GB,2019-03-08,0,22,29
103,10000103,IT,2019-03-27,0,37,22
104,10000104,ES,2019-03-18,1,8,19
105,10000105,ES,2019-03-12,0,25,35
106,10000106,SE,2019-03-18,4,4,38
107,10000107,IT,2019-03-12,12,196,38
108,10000108,SE,2019-03-15,1,1,306
109,10000109,IT,2019-03-20,0,28,6
